Year,Player Name,Club
2016,Joel Selwood,Geelong
2016,Tom Lynch,Gold Coast
2016,Toby Greene,Greater Western Sydney
2016,Heath Shaw,Greater Western Sydney
2016,Cyril Rioli,Hawthorn
2016,Max Gawn,Melbourne
2016,Alex Rance,Richmond
2016,Dustin Martin,Richmond
2016,Dane Rampe,Sydney Swans
2016,Josh Kennedy,Sydney Swans
2016,Daniel Hannebery,Sydney Swans
2016,Lance Franklin,Sydney Swans
2016,Luke Parker,Sydney Swans
2016,Jeremy McGovern,West Coast
2016,Josh Kennedy,West Coast
2016,Marcus Bontempelli,Western Bulldogs
2016,Matthew Boyd,Western Bulldogs
2015,Eddie Betts,Adelaide
2015,Patrick Dangerfield,Adelaide
2015,Michael Hurley,Essendon
2015,Nat Fyfe,Fremantle
2015,David Mundy,Fremantle
2015,Heath Shaw,Greater Western Sydney
2015,Josh Gibson,Hawthorn
2015,Sam Mitchell,Hawthorn
2015,Cyril Rioli,Hawthorn
2015,Todd Goldstein,North Melbourne
2015,Chad Wingard,Port Adelaide
2015,Brett Deledio,Richmond
2015,Alex Rance,Richmond
2015,Jack Riewoldt,Richmond
2015,Dan Hannebery,Sydney Swans
2015,Andrew Gaff,West Coast
2015,Josh Kennedy,West Coast
2015,Matt Priddis,West Coast
2015,Robert Murphy,Western Bulldogs
2015,Jake Stringer,Western Bulldogs
2015,Easton Wood,Western Bulldogs
2014,Brodie Smith,Adelaide
2014,Daniel Talia,Adelaide
2014,Tom Rockliff,Brisbane Lions
2014,Scott Pendlebury,Collingwood
2014,Dyson Heppell,Essendon
2014,Cale Hooker,Essendon
2014,Hayden Ballantyne,Fremantle
2014,Nat Fyfe,Fremantle
2014,Aaron Sandilands,Fremantle
2014,Joel Selwood,Geelong
2014,Gary Ablett jnr,Gold Coast
2014,Luke Breust,Hawthorn
2014,Lance Franklin,Hawthorn
2014,Jordan Lewis,Hawthorn
2014,Jarryd Roughead,Hawthorn
2014,Travis Boak,Port Adelaide
2014,Robbie Gray,Port Adelaide
2014,Alex Rance,Richmond
2014,Nick Riewoldt,St Kilda
2014,Josh Kennedy,Sydney Swans
2014,Nick Malceski,Sydney Swans
2014,Nick Smith,Sydney Swans
2013,Patrick Dangerfield,Adelaide
2013,Travis Cloke,Collingwood
2013,Scott Pendlebury,Collingwood
2013,Dane Swan,Collingwood
2013,Jobe Watson,Essendon
2013,Michael Johnson,Fremantle
2013,Corey Enright,Geelong
2013,Andrew Mackie,Geelong
2013,Joel Selwood,Geelong
2013,Harry Taylor,Geelong
2013,Gary Ablett jnr,Gold Coast
2013,Jeremy Cameron,Greater Western Sydney
2013,Sam Mitchell,Hawthorn
2013,Jarryd Roughead,Hawthorn
2013,Scott Thompson,North Melbourne
2013,Travis Boak,Port Adelaide
2013,Chad Wingard,Port Adelaide
2013,Hannebery Daniel,Sydney Swans
2013,Kieren Jack,Sydney Swans
2013,Jarrad McVeigh,Sydney Swans
2013,Ryan Griffen,Western Bulldogs
2013,Will Minson,Western Bulldogs
2012,Patrick Dangerfield,Adelaide
2012,Scott Thompson,Adelaide
2012,Dayne Beams,Collingwood
2012,Scott Pendlebury,Collingwood
2012,Dane Swan,Collingwood
2012,Jobe Watson,Essendon
2012,Luke McPharlin,Fremantle
2012,Tom Hawkins,Geelong
2012,Gary Ablett jnr,Gold Coast
2012,Grant Birchall,Hawthorn
2012,Lance Franklin,Hawthorn
2012,Cyril Rioli,Hawthorn
2012,Trent Cotchin,Richmond
2012,Brett Deledio,Richmond
2012,Sean Dempster,St Kilda
2012,Stephen Milne,St Kilda
2012,Josh Kennedy,Sydney Swans
2012,Ted Richards,Sydney Swans
2012,Dean Cox,West Coast
2012,Darren Glass,West Coast
2012,Nic Naitanui,West Coast
2012,Beau Waters,West Coast
2011,Chris Judd,Carlton
2011,Marc Murphy,Carlton
2011,Travis Cloke,Collingwood
2011,Leon Davis,Collingwood
2011,Scott Pendlebury,Collingwood
2011,Ben Reid,Collingwood
2011,Dane Swan,Collingwood
2011,Dale Thomas,Collingwood
2011,Corey Enright,Geelong
2011,James Kelly,Geelong
2011,Matthew Scarlett,Geelong
2011,Gary Ablett jnr,Gold Coast
2011,Lance Franklin,Hawthorn
2011,Sam Mitchell,Hawthorn
2011,Drew Petrie,North Melbourne
2011,Nick Dal Santo,St Kilda
2011,Stephen Milne,St Kilda
2011,Adam Goodes,Sydney Swans
2011,Dean Cox,West Coast
2011,Darren Glass,West Coast
2011,Matthew Boyd,Western Bulldogs
2011,Robert Murphy,Western Bulldogs
2010,Chris Judd,Carlton
2010,Alan Didak,Collingwood
2010,Heritier Lumumba,Collingwood
2010,Scott Pendlebury,Collingwood
2010,Dane Swan,Collingwood
2010,Aaron Sandilands,Fremantle
2010,Gary Ablett jnr,Geelong
2010,Paul Chapman,Geelong
2010,Corey Enright,Geelong
2010,Steve Johnson,Geelong
2010,Harry Taylor,Geelong
2010,Lance Franklin,Hawthorn
2010,Luke Hodge,Hawthorn
2010,Mark Jamar,Melbourne
2010,Jack Riewoldt,Richmond
2010,Brendon Goddard,St Kilda
2010,Leigh Montagna,St Kilda
2010,Mark LeCras,West Coast
2010,Barry Hall,Western Bulldogs
2010,Brian Lake,Western Bulldogs
2009,Jonathan Brown,Brisbane Lions
2009,Brendan Fevola,Carlton
